-0.55,0.85,0.11,41.32,-76.23,35.34,-1.88,-14.77,-1.1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.61,0.73,0.12,106.69,-126.1,0.0,-5.97,-10.72,6.65, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.63,0.85,0.08,65.0,-107.85,11.47,-6.1,-9.94,20.03, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.63,0.72,-0.02,60.3,-111.02,26.12,-1.89,-13.62,28.69, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.67,0.71,-0.16,14.47,-44.37,11.47,1.56,-14.22,33.4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.62,0.72,-0.26,-13.43,-1.95,7.2,3.21,-14.47,36.23, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.71,0.65,-0.16,-120.0,104.19,-52.73,-0.38,-9.85,33.89, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.59,0.69,-0.11,-53.53,120.97,-35.77,-6.12,-7.63,21.78, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.69,0.81,0.09,-31.31,102.72,-57.86,-5.22,-12.93,11.3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.45,0.89,0.09,17.46,28.63,-15.14,-2.81,-17.35,7.51, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.44,0.84,0.13,-2.01,23.07,-7.08,0.4,-18.95,4.33, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5,0.87,0.18,45.96,-60.55,43.46,-2.65,-16.81,4.85, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.61,0.81,0.17,58.11,-116.27,27.95,-4.87,-12.28,12.49, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.54,0.71,0.08,23.5,-82.46,-20.57,-4.85,-12.67,22.71, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6,0.76,-0.1,6.47,-6.53,-1.95,-3.49,-14.33,24.88, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.63,0.75,-0.04,1.95,10.31,-0.85,-3.63,-14.65,25.96, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.63,0.81,-0.01,-69.27,101.07,-25.63,-3.94,-14.23,18.82, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.54,0.81,0.06,-22.28,110.66,-7.93,-4.72,-14.11,11.36, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.42,0.86,0.12,-114.81,101.44,-30.58,-2.16,-16.49,2.54, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.46,0.9,0.13,-26.67,41.56,-3.85,2.44,-20.23,-0.6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.45,0.87,0.09,25.82,-70.25,16.48,2.0,-19.67,0.1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.57,0.86,0.06,93.93,-124.15,34.36,-3.58,-14.56,6.7, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.67,0.71,0.03,79.16,-163.51,41.32,-4.93,-11.76,18.55, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.53,0.7,-0.15,38.15,-98.75,9.64,-0.39,-12.81,30.54, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.65,0.74,-0.27,28.26,-78.0,16.24,5.87,-14.65,38.13, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.53,0.8,-0.39,52.19,-63.72,4.76,11.77,-16.48,41.77, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.49,0.77,-0.36,-4.88,5.55,5.55,13.37,-18.54,41.02, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.46,0.84,-0.38,-33.45,74.83,-21.85,11.73,-16.76,40.94, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
